source,target,corr,abs_corr,sign,weight,period
AAPL,ADVANC.BK,0.1726210394765204,0.1726210394765204,+,0.1726210394765204,Crisis (2020)
AAPL,AMD,0.6751760809633485,0.6751760809633485,+,0.6751760809633485,Crisis (2020)
AAPL,AMZN,0.7064807882068758,0.7064807882068758,+,0.7064807882068758,Crisis (2020)
AAPL,AOT.BK,0.23657100041496687,0.23657100041496687,+,0.23657100041496687,Crisis (2020)
AAPL,BAC,0.5573139075191538,0.5573139075191538,+,0.5573139075191538,Crisis (2020)
AAPL,BBL.BK,0.12299053910132655,0.12299053910132655,+,0.12299053910132655,Crisis (2020)
AAPL,BDMS.BK,0.17092263017218337,0.17092263017218337,+,0.17092263017218337,Crisis (2020)
AAPL,BTC-USD,0.4009296110763705,0.4009296110763705,+,0.4009296110763705,Crisis (2020)
AAPL,CPALL.BK,0.24067454798511395,0.24067454798511395,+,0.24067454798511395,Crisis (2020)
AAPL,CPN.BK,0.25283562047208796,0.25283562047208796,+,0.25283562047208796,Crisis (2020)
AAPL,CVX,0.49270407056740806,0.49270407056740806,+,0.49270407056740806,Crisis (2020)
AAPL,GLD,0.2031358506257649,0.2031358506257649,+,0.2031358506257649,Crisis (2020)
AAPL,GOOGL,0.7662237693799004,0.7662237693799004,+,0.7662237693799004,Crisis (2020)
AAPL,GULF.BK,0.215915252733184,0.215915252733184,+,0.215915252733184,Crisis (2020)
AAPL,JNJ,0.6031343859804197,0.6031343859804197,+,0.6031343859804197,Crisis (2020)
AAPL,JPM,0.5341356934365211,0.5341356934365211,+,0.5341356934365211,Crisis (2020)
AAPL,KBANK.BK,0.16200673836043106,0.16200673836043106,+,0.16200673836043106,Crisis (2020)
AAPL,KTB.BK,0.26599650264708846,0.26599650264708846,+,0.26599650264708846,Crisis (2020)
AAPL,META,0.7838749949960183,0.7838749949960183,+,0.7838749949960183,Crisis (2020)
AAPL,MSFT,0.8504152838638841,0.8504152838638841,+,0.8504152838638841,Crisis (2020)
AAPL,NVDA,0.7839550018307626,0.7839550018307626,+,0.7839550018307626,Crisis (2020)
AAPL,PTT.BK,0.29901164131818314,0.29901164131818314,+,0.29901164131818314,Crisis (2020)
AAPL,PTTEP.BK,0.3034634887170657,0.3034634887170657,+,0.3034634887170657,Crisis (2020)
AAPL,PTTGC.BK,0.2660019815548916,0.2660019815548916,+,0.2660019815548916,Crisis (2020)
AAPL,SCB.BK,0.2019960565487239,0.2019960565487239,+,0.2019960565487239,Crisis (2020)
AAPL,SCC.BK,0.19039637884158622,0.19039637884158622,+,0.19039637884158622,Crisis (2020)
AAPL,TRUE.BK,0.23444544669332515,0.23444544669332515,+,0.23444544669332515,Crisis (2020)
AAPL,TSLA,0.49769777681421873,0.49769777681421873,+,0.49769777681421873,Crisis (2020)
AAPL,UNH,0.6587092062974347,0.6587092062974347,+,0.6587092062974347,Crisis (2020)
AAPL,WMT,0.5532777888647621,0.5532777888647621,+,0.5532777888647621,Crisis (2020)
AAPL,XOM,0.4637371515186881,0.4637371515186881,+,0.4637371515186881,Crisis (2020)
ADVANC.BK,AMD,0.1233266188697988,0.1233266188697988,+,0.1233266188697988,Crisis (2020)
ADVANC.BK,AMZN,0.16179748075879744,0.16179748075879744,+,0.16179748075879744,Crisis (2020)
ADVANC.BK,AOT.BK,0.4704774231716484,0.4704774231716484,+,0.4704774231716484,Crisis (2020)
ADVANC.BK,BAC,0.2911266332899827,0.2911266332899827,+,0.2911266332899827,Crisis (2020)
ADVANC.BK,BBL.BK,0.3079993992217102,0.3079993992217102,+,0.3079993992217102,Crisis (2020)
ADVANC.BK,BDMS.BK,0.5053449314723202,0.5053449314723202,+,0.5053449314723202,Crisis (2020)
ADVANC.BK,BTC-USD,0.22814842038831873,0.22814842038831873,+,0.22814842038831873,Crisis (2020)
ADVANC.BK,CPALL.BK,0.43849938345399236,0.43849938345399236,+,0.43849938345399236,Crisis (2020)
ADVANC.BK,CPN.BK,0.45924573890104575,0.45924573890104575,+,0.45924573890104575,Crisis (2020)
ADVANC.BK,CVX,0.2938286614044012,0.2938286614044012,+,0.2938286614044012,Crisis (2020)
ADVANC.BK,GLD,0.020590869408615826,0.020590869408615826,+,0.020590869408615826,Crisis (2020)
ADVANC.BK,GOOGL,0.22261433568136763,0.22261433568136763,+,0.22261433568136763,Crisis (2020)
ADVANC.BK,GULF.BK,0.5179418818943602,0.5179418818943602,+,0.5179418818943602,Crisis (2020)
ADVANC.BK,JNJ,0.16499984241473742,0.16499984241473742,+,0.16499984241473742,Crisis (2020)
ADVANC.BK,JPM,0.2949856750943057,0.2949856750943057,+,0.2949856750943057,Crisis (2020)
ADVANC.BK,KBANK.BK,0.3572059974469116,0.3572059974469116,+,0.3572059974469116,Crisis (2020)
ADVANC.BK,KTB.BK,0.4756775237579037,0.4756775237579037,+,0.4756775237579037,Crisis (2020)
ADVANC.BK,META,0.2759093007054208,0.2759093007054208,+,0.2759093007054208,Crisis (2020)
ADVANC.BK,MSFT,0.1750914726605636,0.1750914726605636,+,0.1750914726605636,Crisis (2020)
ADVANC.BK,NVDA,0.18941980528221222,0.18941980528221222,+,0.18941980528221222,Crisis (2020)
ADVANC.BK,PTT.BK,0.4668958740000485,0.4668958740000485,+,0.4668958740000485,Crisis (2020)
ADVANC.BK,PTTEP.BK,0.45855161638114283,0.45855161638114283,+,0.45855161638114283,Crisis (2020)
ADVANC.BK,PTTGC.BK,0.4252598784052911,0.4252598784052911,+,0.4252598784052911,Crisis (2020)
ADVANC.BK,SCB.BK,0.36607582857791177,0.36607582857791177,+,0.36607582857791177,Crisis (2020)
ADVANC.BK,SCC.BK,0.5477620382743993,0.5477620382743993,+,0.5477620382743993,Crisis (2020)
ADVANC.BK,TRUE.BK,0.5800959187814841,0.5800959187814841,+,0.5800959187814841,Crisis (2020)
ADVANC.BK,TSLA,0.20085346727013545,0.20085346727013545,+,0.20085346727013545,Crisis (2020)
ADVANC.BK,UNH,0.17396885183997557,0.17396885183997557,+,0.17396885183997557,Crisis (2020)
ADVANC.BK,WMT,0.06563534697452544,0.06563534697452544,+,0.06563534697452544,Crisis (2020)
ADVANC.BK,XOM,0.30363232119239975,0.30363232119239975,+,0.30363232119239975,Crisis (2020)
AMD,AMZN,0.6314363909256069,0.6314363909256069,+,0.6314363909256069,Crisis (2020)
AMD,AOT.BK,0.13225664646748403,0.13225664646748403,+,0.13225664646748403,Crisis (2020)
AMD,BAC,0.3993905514566805,0.3993905514566805,+,0.3993905514566805,Crisis (2020)
AMD,BBL.BK,0.034134965534570516,0.034134965534570516,+,0.034134965534570516,Crisis (2020)
