source,target,corr,abs_corr,sign,weight,period
AAPL,ADVANC.BK,0.1460449154441434,0.1460449154441434,+,0.1460449154441434,Post-Crisis (2024)
AAPL,AMD,0.30980292766134804,0.30980292766134804,+,0.30980292766134804,Post-Crisis (2024)
AAPL,AMZN,0.3761350379115726,0.3761350379115726,+,0.3761350379115726,Post-Crisis (2024)
AAPL,AOT.BK,-0.00020717999794132502,0.00020717999794132502,-,0.00020717999794132502,Post-Crisis (2024)
AAPL,BAC,0.09262345291910667,0.09262345291910667,+,0.09262345291910667,Post-Crisis (2024)
AAPL,BBL.BK,0.08109750459974369,0.08109750459974369,+,0.08109750459974369,Post-Crisis (2024)
AAPL,BDMS.BK,0.0534606860759523,0.0534606860759523,+,0.0534606860759523,Post-Crisis (2024)
AAPL,BTC-USD,0.1645817842619112,0.1645817842619112,+,0.1645817842619112,Post-Crisis (2024)
AAPL,CPALL.BK,0.08781229858395594,0.08781229858395594,+,0.08781229858395594,Post-Crisis (2024)
AAPL,CPN.BK,0.11435518022419407,0.11435518022419407,+,0.11435518022419407,Post-Crisis (2024)
AAPL,CVX,0.041612295197105784,0.041612295197105784,+,0.041612295197105784,Post-Crisis (2024)
AAPL,GLD,0.18117040699386136,0.18117040699386136,+,0.18117040699386136,Post-Crisis (2024)
AAPL,GOOGL,0.3605509674986969,0.3605509674986969,+,0.3605509674986969,Post-Crisis (2024)
AAPL,GULF.BK,0.06549636435776368,0.06549636435776368,+,0.06549636435776368,Post-Crisis (2024)
AAPL,JNJ,-0.01585052028611906,0.01585052028611906,-,0.01585052028611906,Post-Crisis (2024)
AAPL,JPM,0.08242138189425857,0.08242138189425857,+,0.08242138189425857,Post-Crisis (2024)
AAPL,KBANK.BK,0.1208030572231611,0.1208030572231611,+,0.1208030572231611,Post-Crisis (2024)
AAPL,KTB.BK,0.06373912637668455,0.06373912637668455,+,0.06373912637668455,Post-Crisis (2024)
AAPL,META,0.2725750455107816,0.2725750455107816,+,0.2725750455107816,Post-Crisis (2024)
AAPL,MSFT,0.5075817599158636,0.5075817599158636,+,0.5075817599158636,Post-Crisis (2024)
AAPL,NVDA,0.28792637979783314,0.28792637979783314,+,0.28792637979783314,Post-Crisis (2024)
AAPL,PTT.BK,0.08572368051553209,0.08572368051553209,+,0.08572368051553209,Post-Crisis (2024)
AAPL,PTTEP.BK,-0.10815193096681934,0.10815193096681934,-,0.10815193096681934,Post-Crisis (2024)
AAPL,PTTGC.BK,-0.0007061980137354294,0.0007061980137354294,-,0.0007061980137354294,Post-Crisis (2024)
AAPL,SCB.BK,0.01680886488201998,0.01680886488201998,+,0.01680886488201998,Post-Crisis (2024)
AAPL,SCC.BK,0.0770119535789343,0.0770119535789343,+,0.0770119535789343,Post-Crisis (2024)
AAPL,TRUE.BK,-0.0352214517153489,0.0352214517153489,-,0.0352214517153489,Post-Crisis (2024)
AAPL,TSLA,0.34925429985893497,0.34925429985893497,+,0.34925429985893497,Post-Crisis (2024)
AAPL,UNH,-0.10285852748200158,0.10285852748200158,-,0.10285852748200158,Post-Crisis (2024)
AAPL,WMT,0.06938773034601779,0.06938773034601779,+,0.06938773034601779,Post-Crisis (2024)
AAPL,XOM,-0.03273278788491828,0.03273278788491828,-,0.03273278788491828,Post-Crisis (2024)
ADVANC.BK,AMD,0.11898257627248618,0.11898257627248618,+,0.11898257627248618,Post-Crisis (2024)
