id,label,group,region,degree,strength,betweenness,period
AAPL,AAPL,Tech,US,31,5.684989789825922,0.08172043010752689,Post-Crisis (2021)
ADVANC.BK,ADVANC.BK,Telecom,TH,31,4.253959164198115,0.14193548387096774,Post-Crisis (2021)
AMD,AMD,Tech,US,31,5.318728912422515,0.3053763440860215,Post-Crisis (2021)
AMZN,AMZN,Cons Cyclical,US,31,5.396458658193131,0.16129032258064516,Post-Crisis (2021)
AOT.BK,AOT.BK,Industrials,TH,31,6.030312337277112,0.017204301075268817,Post-Crisis (2021)
BAC,BAC,Banks,US,31,5.607291149492889,0.0,Post-Crisis (2021)
BBL.BK,BBL.BK,Banks,TH,31,7.291902341070995,0.0,Post-Crisis (2021)
BDMS.BK,BDMS.BK,Healthcare,TH,31,4.389000822878808,0.01935483870967742,Post-Crisis (2021)
BTC-USD,BTC-USD,Crypto,Macro,31,3.0831618017853994,0.0,Post-Crisis (2021)
CPALL.BK,CPALL.BK,Cons Staples,TH,31,5.298087473594439,0.18494623655913978,Post-Crisis (2021)
CPN.BK,CPN.BK,Real Estate,TH,31,5.730282902585256,0.0,Post-Crisis (2021)
CVX,CVX,Energy,US,31,5.468090828715722,0.0,Post-Crisis (2021)
GLD,GLD,Gold-ETF,Macro,31,2.171393769385821,0.16559139784946236,Post-Crisis (2021)
GOOGL,GOOGL,Comm Services,US,31,6.588773510137844,0.0,Post-Crisis (2021)
GULF.BK,GULF.BK,Utilities,TH,31,3.5517284544293863,0.13978494623655913,Post-Crisis (2021)
JNJ,JNJ,Healthcare,US,31,3.1371075516752995,0.38064516129032255,Post-Crisis (2021)
JPM,JPM,Banks,US,31,5.50684031143947,0.0,Post-Crisis (2021)
KBANK.BK,KBANK.BK,Banks,TH,31,6.57878093755128,0.0,Post-Crisis (2021)
KTB.BK,KTB.BK,Banks,TH,31,7.3793821343689165,0.0064516129032258064,Post-Crisis (2021)
META,META,Comm Services,US,31,5.265966176697091,0.0,Post-Crisis (2021)
MSFT,MSFT,Tech,US,31,5.8039755694069,0.11612903225806452,Post-Crisis (2021)
NVDA,NVDA,Tech,US,31,5.519248600693454,0.004301075268817204,Post-Crisis (2021)
PTT.BK,PTT.BK,Energy,TH,31,5.724549122637679,0.23440860215053763,Post-Crisis (2021)
PTTEP.BK,PTTEP.BK,Energy,TH,31,5.0596510242822985,0.0,Post-Crisis (2021)
PTTGC.BK,PTTGC.BK,Materials,TH,31,5.672815240845797,0.09247311827956989,Post-Crisis (2021)
SCB.BK,SCB.BK,Banks,TH,31,6.158144464967253,0.002150537634408602,Post-Crisis (2021)
SCC.BK,SCC.BK,Materials,TH,31,4.0628714594905615,0.008602150537634409,Post-Crisis (2021)
TRUE.BK,TRUE.BK,Telecom,TH,31,4.252737737957799,0.08602150537634409,Post-Crisis (2021)
TSLA,TSLA,Cons Cyclical,US,31,4.276444646720055,0.047311827956989246,Post-Crisis (2021)
UNH,UNH,Healthcare,US,31,4.09563095024832,0.15483870967741936,Post-Crisis (2021)
WMT,WMT,Cons Staples,US,31,3.5452318472086475,0.02795698924731183,Post-Crisis (2021)
XOM,XOM,Energy,US,31,5.414960517236553,0.03655913978494624,Post-Crisis (2021)
