id,label,group,region,degree,strength,betweenness,period
AAPL,AAPL,Tech,US,31,5.414160740546928,0.0,Post-Crisis (2023)
ADVANC.BK,ADVANC.BK,Telecom,TH,31,3.733496453592308,0.2817204301075269,Post-Crisis (2023)
AMD,AMD,Tech,US,31,4.568595272286457,0.0989247311827957,Post-Crisis (2023)
AMZN,AMZN,Cons Cyclical,US,31,5.049843139140365,0.26021505376344084,Post-Crisis (2023)
AOT.BK,AOT.BK,Industrials,TH,31,4.28137671576107,0.09032258064516129,Post-Crisis (2023)
BAC,BAC,Banks,US,31,4.484110173030367,0.0,Post-Crisis (2023)
BBL.BK,BBL.BK,Banks,TH,31,5.353479217511939,0.0,Post-Crisis (2023)
BDMS.BK,BDMS.BK,Healthcare,TH,31,3.6897285220069582,0.053763440860215055,Post-Crisis (2023)
BTC-USD,BTC-USD,Crypto,Macro,31,3.0253210072807524,0.008602150537634409,Post-Crisis (2023)
CPALL.BK,CPALL.BK,Cons Staples,TH,31,4.681833688476706,0.0,Post-Crisis (2023)
CPN.BK,CPN.BK,Real Estate,TH,31,4.11122805903081,0.0,Post-Crisis (2023)
CVX,CVX,Energy,US,31,3.435673605180735,0.08172043010752689,Post-Crisis (2023)
GLD,GLD,Gold-ETF,Macro,31,1.1913163596684262,0.27741935483870966,Post-Crisis (2023)
GOOGL,GOOGL,Comm Services,US,31,4.701297553275445,0.21935483870967742,Post-Crisis (2023)
GULF.BK,GULF.BK,Utilities,TH,31,4.633100411430168,0.0,Post-Crisis (2023)
JNJ,JNJ,Healthcare,US,31,2.3779208938589713,0.025806451612903226,Post-Crisis (2023)
JPM,JPM,Banks,US,31,4.533484316862188,0.017204301075268817,Post-Crisis (2023)
KBANK.BK,KBANK.BK,Banks,TH,31,4.992701401592876,0.0,Post-Crisis (2023)
KTB.BK,KTB.BK,Banks,TH,31,4.739751760554158,0.0064516129032258064,Post-Crisis (2023)
META,META,Comm Services,US,31,5.051435939426461,0.004301075268817204,Post-Crisis (2023)
MSFT,MSFT,Tech,US,31,4.728590250243932,0.053763440860215055,Post-Crisis (2023)
NVDA,NVDA,Tech,US,31,4.605858160077496,0.18494623655913978,Post-Crisis (2023)
PTT.BK,PTT.BK,Energy,TH,31,4.594903469171652,0.16774193548387098,Post-Crisis (2023)
PTTEP.BK,PTTEP.BK,Energy,TH,31,3.9763634905729597,0.015053763440860214,Post-Crisis (2023)
PTTGC.BK,PTTGC.BK,Materials,TH,31,4.741745179054844,0.13118279569892474,Post-Crisis (2023)
SCB.BK,SCB.BK,Banks,TH,31,5.394889068166822,0.034408602150537634,Post-Crisis (2023)
SCC.BK,SCC.BK,Materials,TH,31,4.313031424841611,0.0,Post-Crisis (2023)
TRUE.BK,TRUE.BK,Telecom,TH,31,3.2521859775925446,0.10752688172043011,Post-Crisis (2023)
TSLA,TSLA,Cons Cyclical,US,31,4.872934399751238,0.07096774193548387,Post-Crisis (2023)
UNH,UNH,Healthcare,US,31,2.259509917936105,0.053763440860215055,Post-Crisis (2023)
WMT,WMT,Cons Staples,US,31,2.765681305601608,0.0,Post-Crisis (2023)
XOM,XOM,Energy,US,31,3.3349170451732038,0.08172043010752689,Post-Crisis (2023)
