id,label,group,region,degree,strength,betweenness,period
AAPL,AAPL,Tech,US,31,12.86675022697821,0.0,Crisis (2020)
ADVANC.BK,ADVANC.BK,Telecom,TH,31,9.73558357645225,0.0,Crisis (2020)
AMD,AMD,Tech,US,31,10.180914544205457,0.0,Crisis (2020)
AMZN,AMZN,Cons Cyclical,US,31,9.758121548173822,0.0,Crisis (2020)
AOT.BK,AOT.BK,Industrials,TH,31,12.403678403004449,0.0,Crisis (2020)
BAC,BAC,Banks,US,31,12.837465720996907,0.0,Crisis (2020)
BBL.BK,BBL.BK,Banks,TH,31,9.672057379270102,0.3870967741935484,Crisis (2020)
BDMS.BK,BDMS.BK,Healthcare,TH,31,10.906768308564189,0.05806451612903226,Crisis (2020)
BTC-USD,BTC-USD,Crypto,Macro,31,8.518030115078812,0.0,Crisis (2020)
CPALL.BK,CPALL.BK,Cons Staples,TH,31,10.02768768652904,0.0,Crisis (2020)
CPN.BK,CPN.BK,Real Estate,TH,31,11.356958210660217,0.06451612903225806,Crisis (2020)
CVX,CVX,Energy,US,31,12.968904315975124,0.0,Crisis (2020)
GLD,GLD,Gold-ETF,Macro,31,3.2467039519153733,0.8408602150537634,Crisis (2020)
GOOGL,GOOGL,Comm Services,US,31,13.040601210266516,0.0,Crisis (2020)
GULF.BK,GULF.BK,Utilities,TH,31,10.137287902339,0.0,Crisis (2020)
JNJ,JNJ,Healthcare,US,31,11.363957089684973,0.0,Crisis (2020)
JPM,JPM,Banks,US,31,12.698302074267612,0.0,Crisis (2020)
KBANK.BK,KBANK.BK,Banks,TH,31,10.538845338389693,0.06021505376344086,Crisis (2020)
KTB.BK,KTB.BK,Banks,TH,31,13.57909806185966,0.0,Crisis (2020)
META,META,Comm Services,US,31,11.95558002170877,0.0,Crisis (2020)
MSFT,MSFT,Tech,US,31,13.066649726926524,0.0,Crisis (2020)
NVDA,NVDA,Tech,US,31,11.560864090211979,0.0,Crisis (2020)
PTT.BK,PTT.BK,Energy,TH,31,12.707383099234217,0.0,Crisis (2020)
PTTEP.BK,PTTEP.BK,Energy,TH,31,13.41649809429348,0.0,Crisis (2020)
PTTGC.BK,PTTGC.BK,Materials,TH,31,12.321666257295302,0.0,Crisis (2020)
SCB.BK,SCB.BK,Banks,TH,31,11.239853610647584,0.002150537634408602,Crisis (2020)
SCC.BK,SCC.BK,Materials,TH,31,11.2714395119187,0.0,Crisis (2020)
TRUE.BK,TRUE.BK,Telecom,TH,31,10.411732074460053,0.0,Crisis (2020)
TSLA,TSLA,Cons Cyclical,US,31,8.823260629252077,0.0,Crisis (2020)
UNH,UNH,Healthcare,US,31,12.130904751546094,0.0,Crisis (2020)
WMT,WMT,Cons Staples,US,31,8.018728902610786,0.03655913978494624,Crisis (2020)
XOM,XOM,Energy,US,31,11.885430564515193,0.0,Crisis (2020)
