id,label,group,region,degree,strength,betweenness,period
AAPL,AAPL,Tech,US,31,7.439384008221408,0.0,Pre-Crisis (2019)
ADVANC.BK,ADVANC.BK,Telecom,TH,31,3.247122657490782,0.0064516129032258064,Pre-Crisis (2019)
AMD,AMD,Tech,US,31,7.149176454826922,0.0,Pre-Crisis (2019)
AMZN,AMZN,Cons Cyclical,US,31,7.284711889874745,0.421505376344086,Pre-Crisis (2019)
AOT.BK,AOT.BK,Industrials,TH,31,4.486101300984805,0.23655913978494625,Pre-Crisis (2019)
BAC,BAC,Banks,US,31,7.586378835704963,0.0,Pre-Crisis (2019)
BBL.BK,BBL.BK,Banks,TH,31,2.974995183607443,0.16774193548387098,Pre-Crisis (2019)
BDMS.BK,BDMS.BK,Healthcare,TH,31,2.8614541494505006,0.034408602150537634,Pre-Crisis (2019)
BTC-USD,BTC-USD,Crypto,Macro,31,1.6447830181986955,0.4731182795698925,Pre-Crisis (2019)
CPALL.BK,CPALL.BK,Cons Staples,TH,31,5.473171179740738,0.0,Pre-Crisis (2019)
CPN.BK,CPN.BK,Real Estate,TH,31,5.262545195829989,0.221505376344086,Pre-Crisis (2019)
CVX,CVX,Energy,US,31,6.41998545342069,0.05591397849462366,Pre-Crisis (2019)
GLD,GLD,Gold-ETF,Macro,31,3.9645952160973637,0.002150537634408602,Pre-Crisis (2019)
GOOGL,GOOGL,Comm Services,US,31,6.327701916622196,0.021505376344086023,Pre-Crisis (2019)
GULF.BK,GULF.BK,Utilities,TH,31,2.76039742898077,0.443010752688172,Pre-Crisis (2019)
JNJ,JNJ,Healthcare,US,31,3.9245364376252225,0.07526881720430108,Pre-Crisis (2019)
JPM,JPM,Banks,US,31,7.606589235514489,0.0,Pre-Crisis (2019)
KBANK.BK,KBANK.BK,Banks,TH,31,4.7114386715443635,0.11827956989247312,Pre-Crisis (2019)
KTB.BK,KTB.BK,Banks,TH,31,5.319921001368829,0.0,Pre-Crisis (2019)
META,META,Comm Services,US,31,5.722456675149646,0.2064516129032258,Pre-Crisis (2019)
MSFT,MSFT,Tech,US,31,7.633313076834557,0.0,Pre-Crisis (2019)
NVDA,NVDA,Tech,US,31,8.403459783777455,0.0,Pre-Crisis (2019)
PTT.BK,PTT.BK,Energy,TH,31,6.246176434188015,0.0,Pre-Crisis (2019)
PTTEP.BK,PTTEP.BK,Energy,TH,31,5.337297870167277,0.0,Pre-Crisis (2019)
PTTGC.BK,PTTGC.BK,Materials,TH,31,5.601663748012329,0.047311827956989246,Pre-Crisis (2019)
SCB.BK,SCB.BK,Banks,TH,31,4.4326187120380505,0.0,Pre-Crisis (2019)
SCC.BK,SCC.BK,Materials,TH,31,4.3911271421591325,0.0,Pre-Crisis (2019)
TRUE.BK,TRUE.BK,Telecom,TH,31,3.9793022583597693,0.12688172043010754,Pre-Crisis (2019)
TSLA,TSLA,Cons Cyclical,US,31,3.7236102684217425,0.09032258064516129,Pre-Crisis (2019)
UNH,UNH,Healthcare,US,31,3.708560941844372,0.012903225806451613,Pre-Crisis (2019)
WMT,WMT,Cons Staples,US,31,4.006576198822365,0.1053763440860215,Pre-Crisis (2019)
XOM,XOM,Energy,US,31,7.162278611365215,0.053763440860215055,Pre-Crisis (2019)
