source,target,corr,abs_corr,sign,weight,period
AAPL,ADVANC.BK,0.06381400393995684,0.06381400393995684,+,0.06381400393995684,Post-Crisis (2022)
AAPL,AMD,0.7182032408517328,0.7182032408517328,+,0.7182032408517328,Post-Crisis (2022)
AAPL,AMZN,0.6804760359277344,0.6804760359277344,+,0.6804760359277344,Post-Crisis (2022)
AAPL,AOT.BK,0.12662574958404216,0.12662574958404216,+,0.12662574958404216,Post-Crisis (2022)
AAPL,BAC,0.5337460385616083,0.5337460385616083,+,0.5337460385616083,Post-Crisis (2022)
AAPL,BBL.BK,0.03302108641403016,0.03302108641403016,+,0.03302108641403016,Post-Crisis (2022)
AAPL,BDMS.BK,0.1191405619673793,0.1191405619673793,+,0.1191405619673793,Post-Crisis (2022)
AAPL,BTC-USD,0.4796983947145105,0.4796983947145105,+,0.4796983947145105,Post-Crisis (2022)
AAPL,CPALL.BK,0.18666278173292639,0.18666278173292639,+,0.18666278173292639,Post-Crisis (2022)
AAPL,CPN.BK,0.2157767245990324,0.2157767245990324,+,0.2157767245990324,Post-Crisis (2022)
AAPL,CVX,0.2745811749172128,0.2745811749172128,+,0.2745811749172128,Post-Crisis (2022)
AAPL,GLD,0.11844445229708206,0.11844445229708206,+,0.11844445229708206,Post-Crisis (2022)
AAPL,GOOGL,0.7834892937374217,0.7834892937374217,+,0.7834892937374217,Post-Crisis (2022)
AAPL,GULF.BK,0.13413497798677024,0.13413497798677024,+,0.13413497798677024,Post-Crisis (2022)
AAPL,JNJ,0.3626474066156931,0.3626474066156931,+,0.3626474066156931,Post-Crisis (2022)
AAPL,JPM,0.5384031458318778,0.5384031458318778,+,0.5384031458318778,Post-Crisis (2022)
AAPL,KBANK.BK,0.03241166285219086,0.03241166285219086,+,0.03241166285219086,Post-Crisis (2022)
AAPL,KTB.BK,-0.04766763524611924,0.04766763524611924,-,0.04766763524611924,Post-Crisis (2022)
AAPL,META,0.5653415091777471,0.5653415091777471,+,0.5653415091777471,Post-Crisis (2022)
AAPL,MSFT,0.8208931450268827,0.8208931450268827,+,0.8208931450268827,Post-Crisis (2022)
AAPL,NVDA,0.7579762191525019,0.7579762191525019,+,0.7579762191525019,Post-Crisis (2022)
AAPL,PTT.BK,0.18676980159020734,0.18676980159020734,+,0.18676980159020734,Post-Crisis (2022)
AAPL,PTTEP.BK,0.034806862399827464,0.034806862399827464,+,0.034806862399827464,Post-Crisis (2022)
AAPL,PTTGC.BK,0.1656067154800307,0.1656067154800307,+,0.1656067154800307,Post-Crisis (2022)
AAPL,SCB.BK,0.04100516894629857,0.04100516894629857,+,0.04100516894629857,Post-Crisis (2022)
AAPL,SCC.BK,0.16914502570703313,0.16914502570703313,+,0.16914502570703313,Post-Crisis (2022)
AAPL,TRUE.BK,0.0819291100588672,0.0819291100588672,+,0.0819291100588672,Post-Crisis (2022)
AAPL,TSLA,0.6095204467364712,0.6095204467364712,+,0.6095204467364712,Post-Crisis (2022)
AAPL,UNH,0.4632217500521965,0.4632217500521965,+,0.4632217500521965,Post-Crisis (2022)
AAPL,WMT,0.34970991757199743,0.34970991757199743,+,0.34970991757199743,Post-Crisis (2022)
AAPL,XOM,0.25180581422977316,0.25180581422977316,+,0.25180581422977316,Post-Crisis (2022)
ADVANC.BK,AMD,-0.013216826829489936,0.013216826829489936,-,0.013216826829489936,Post-Crisis (2022)
ADVANC.BK,AMZN,0.029237183602311766,0.029237183602311766,+,0.029237183602311766,Post-Crisis (2022)
ADVANC.BK,AOT.BK,0.30951141430720136,0.30951141430720136,+,0.30951141430720136,Post-Crisis (2022)
ADVANC.BK,BAC,0.04171618238257063,0.04171618238257063,+,0.04171618238257063,Post-Crisis (2022)
ADVANC.BK,BBL.BK,0.22260767163177228,0.22260767163177228,+,0.22260767163177228,Post-Crisis (2022)
ADVANC.BK,BDMS.BK,0.15279943120806228,0.15279943120806228,+,0.15279943120806228,Post-Crisis (2022)
ADVANC.BK,BTC-USD,0.08288600962415679,0.08288600962415679,+,0.08288600962415679,Post-Crisis (2022)
ADVANC.BK,CPALL.BK,0.2109450884737112,0.2109450884737112,+,0.2109450884737112,Post-Crisis (2022)
ADVANC.BK,CPN.BK,0.26882312274130565,0.26882312274130565,+,0.26882312274130565,Post-Crisis (2022)
ADVANC.BK,CVX,0.08300996601768731,0.08300996601768731,+,0.08300996601768731,Post-Crisis (2022)
ADVANC.BK,GLD,-0.02980198203995949,0.02980198203995949,-,0.02980198203995949,Post-Crisis (2022)
ADVANC.BK,GOOGL,0.020307586846987618,0.020307586846987618,+,0.020307586846987618,Post-Crisis (2022)
ADVANC.BK,GULF.BK,0.3434059627697849,0.3434059627697849,+,0.3434059627697849,Post-Crisis (2022)
ADVANC.BK,JNJ,-0.03847413296244475,0.03847413296244475,-,0.03847413296244475,Post-Crisis (2022)
ADVANC.BK,JPM,0.03555330916894795,0.03555330916894795,+,0.03555330916894795,Post-Crisis (2022)
ADVANC.BK,KBANK.BK,0.3108185782431889,0.3108185782431889,+,0.3108185782431889,Post-Crisis (2022)
ADVANC.BK,KTB.BK,0.16157860375368735,0.16157860375368735,+,0.16157860375368735,Post-Crisis (2022)
ADVANC.BK,META,-0.014337335298864317,0.014337335298864317,-,0.014337335298864317,Post-Crisis (2022)
